happy	ping pong	clerk
sad	chop	florist
cry	bear	shipwreck
weep	piano	defect
jog	hula hoop	jet lag
run	whisper	oil
walk	earthquake	de ja vu
jump	bunk	streamline
catch	bomb	explore
throw	park	Þddle
hop	seesaw	escape
slap	dream	silhoutte
sneeze	twist	aisle
write	calendar	evolution
sleep	cage	apathy
kiss	skateboard	procrastinate
food	mop	regret
paper	soap	criticize
pencil	tree	satellite
sit	snowball	pump
stand	fang	negotiate
wink	cape	level
money	mascara	fizz
fly	penguin	retaliate
rain	popsicle	portfolio
pull	yo-yo	mascot
push	alarm clock	college
yawn	pajamas	lifestyle
drink	seashell	collage
cough	nap	alphabetize
cart	sand	pronunciation
hide	limbo	pomp
stop	rhinoceros	unemployed
book	cheerleader	fetch
shoes	cello	gratitude
car	stairs	journal
seat	shovel	tower
shoot	saddle	escape
type	engine	vanish
cook	roof	 battle
lipstick	bicycle	roundabout
blind	puppet	teenager
salute	erase	Beethoven
newspaper	banana peel	advertise
time	road	sandbox
think	dog leash	round-robin
shock	share	ergonomic
fright	wedding	application
photographer	cow	object-oriented
tickle	violin	tachometer
iPad	braid	standing ovation
pizza	trumpet	corduroy
beg	winner	beanstalk
mirror	ocean	oil
taxi	nurse	comfort zone
smile	wife	invitation
mouth	dwarf	loyalty
hat	soup 	organize
bird	sunset	dismantle
heart	cable	crumb
milk	submarine	Olympian
apple	aircraft	ticket
mouse	gift	cast
face	pendulum	motive
circle	flag	inspiration
egg	shadow	flunk
cheese	volcano	vision
ball	honk	eureka
water	fog	century
tree	lung	lyrics
